,Score,Age,Cumulative score,Churn
508,655,37,79555.08,1
509,760,33,156660.21,0
510,799,32,17938.0,0
511,761,38,109394.62,0
512,610,50,184758.17,1
513,726,30,2704.09,0
514,350,51,125823.79,1
515,648,36,130041.45,0
516,643,30,165614.4,0
517,486,62,168034.83,1
518,711,35,67508.01,0
519,625,38,164804.02,0
520,799,22,192633.85,0
521,552,33,58844.84,1
522,742,55,121207.66,1
523,552,39,149384.43,0
524,516,43,139366.58,0
525,727,59,71830.1,1
526,775,32,161069.73,0
527,761,62,86920.97,1
528,844,56,157230.06,1
529,606,46,183717.94,0
530,721,42,1187.88,0
531,850,31,152298.28,0
532,639,77,55829.25,0
533,498,35,188343.05,0
534,717,36,145551.6,0
535,651,47,119808.64,0
536,753,47,197444.69,0
537,651,41,174337.68,0
538,573,30,66190.21,0
539,639,39,30414.17,0
540,591,40,136767.16,1
541,663,33,91514.62,0
542,735,31,72927.68,0
543,630,41,46156.87,0
544,537,45,120892.96,1
545,698,57,105715.01,0
546,607,25,115288.24,0
547,740,33,136869.31,0
548,604,40,113581.85,0
549,628,45,193903.06,0
550,655,37,76259.23,0
551,835,28,154559.28,0
552,693,57,135502.77,0
553,559,34,182988.94,0
554,585,56,186476.91,1
555,696,30,193716.56,0
556,753,62,136398.9,0
557,706,47,140938.95,1
558,600,37,88669.89,0
559,480,39,82438.13,0
560,723,20,140385.33,0
561,730,39,172450.04,1
562,467,28,32349.29,1
563,805,39,166650.32,0
564,690,21,155782.89,0
565,680,37,92826.35,0
566,605,33,147822.81,0
567,845,43,97910.06,0
568,798,39,164248.33,0
569,649,50,87351.42,1
570,695,36,100940.91,0
571,762,44,24780.13,0
572,601,37,20708.6,0
573,711,37,80215.2,0
574,496,34,180844.81,0
575,702,46,109563.28,0
576,495,47,71071.47,0
577,541,40,49063.42,0
578,350,39,123602.11,1
579,684,26,96885.19,0
580,581,30,199464.08,0
581,692,41,59354.24,1
582,590,37,133535.99,0
583,565,55,128124.7,1
584,687,72,50267.69,0
585,599,44,31448.52,0
586,813,30,85808.22,0
587,581,43,100236.02,0
588,550,44,26257.01,0
589,756,44,189543.9,0
590,573,46,189988.65,1
591,693,34,154631.35,0
592,850,31,61936.1,0
593,701,41,146257.77,0
594,445,48,16645.77,1
595,738,33,105817.63,0
596,706,35,42181.68,0
597,649,46,66602.7,0
598,744,35,43036.6,0
599,651,35,127678.95,1
600,636,31,74641.9,0
601,657,34,153895.46,0
602,762,28,167909.52,0
603,523,27,147059.16,0
604,772,42,90928.48,0
605,610,27,103381.47,0
606,585,34,75503.6,0
607,731,33,74945.11,0
608,713,45,74005.04,1
609,734,29,17744.72,0
610,614,32,51117.06,0
611,668,32,111241.37,0
612,636,34,38570.13,0
613,684,24,196574.48,0
614,670,68,11426.7,0
615,591,35,57064.57,0
616,690,31,55387.28,0
617,661,44,189742.78,1
618,526,43,31705.19,0
619,549,29,146090.38,0
620,504,44,158036.72,1
621,633,33,159813.18,0
622,825,29,71192.82,0
623,544,44,69244.24,0
624,741,29,115994.52,0
625,841,36,122662.98,0
626,581,44,45026.23,1
627,704,45,137739.45,0
628,665,37,110359.68,1
629,743,32,163254.39,0
630,637,30,102566.46,1
631,697,38,7387.8,1
632,704,44,158742.81,0
633,846,61,96202.44,0
634,635,41,193746.55,0
635,774,46,34774.26,0
636,660,23,90494.72,0
637,647,35,83910.4,0
638,650,46,176902.83,0
639,684,38,198355.28,0
640,659,33,1539.21,0
641,530,42,97338.62,0
642,693,38,78133.48,1
643,686,26,79189.4,0
644,597,29,174825.57,0
645,850,38,140075.55,0
646,645,37,153400.24,0
647,761,33,148779.41,0
648,733,28,12761.16,0
649,743,35,189307.7,0
650,593,33,199478.05,0
651,802,40,175043.69,0
652,739,34,60584.33,0
653,524,32,132861.9,1
654,684,56,99398.36,0
655,570,23,198830.98,0
656,802,41,47322.05,0
657,553,33,94440.45,0
658,569,35,193793.78,0
659,505,29,58019.95,0
660,720,34,136120.29,0
661,685,33,186785.01,0
662,439,36,123956.83,0
663,670,25,144723.38,0
664,448,36,81999.53,0
665,658,44,14178.73,0
666,664,31,79222.02,0
667,662,37,151871.84,0
668,551,26,49778.79,0
669,682,52,21085.17,1
670,625,52,67788.49,0
671,612,24,171837.06,0
672,614,51,5552.37,0
673,641,30,7278.57,0
674,711,36,46884.1,0
675,465,33,177668.55,0
676,582,29,142516.35,0
677,776,39,79503.05,0
678,628,33,184230.23,0
679,683,35,26796.73,0
680,654,40,183872.88,1
681,662,54,111442.71,1
682,758,34,124226.16,0
683,696,44,75562.47,0
684,534,35,9541.15,0
685,807,43,34888.04,1
686,750,36,26500.29,1
687,638,46,38967.29,0
688,625,45,184474.15,1
689,577,39,10553.31,0
690,477,30,194144.45,0
691,486,40,76192.21,0
692,742,25,129933.5,0
693,635,41,175611.5,0
694,640,66,184636.05,0
695,807,47,65636.92,0
696,627,41,134665.25,0
697,726,34,14121.61,0
698,616,29,140746.13,0
699,788,32,89368.59,0
700,831,44,28144.07,1
701,553,53,165378.66,1
702,668,43,141679.73,0
703,751,34,479.54,0
704,410,33,66333.56,1
705,698,27,27654.44,0
706,580,61,94677.83,0
707,543,67,134612.48,0
708,584,47,92915.84,0
709,613,45,34749.65,0
710,684,43,131093.99,0
711,634,25,8227.91,0
712,651,34,105599.65,0
713,705,48,149772.61,0
714,714,52,144045.08,1
715,654,29,149184.15,0
716,765,34,104220.5,0
717,730,36,91830.75,0
718,660,35,13218.6,0
719,850,36,190194.95,0
720,599,33,111622.76,1
721,709,42,77142.85,0
722,466,41,178994.13,1
723,661,51,68021.9,0
724,524,30,126812.85,0
725,546,58,128881.87,1
726,615,44,110718.02,0
727,744,31,158958.9,0
728,727,29,173486.39,0
729,639,35,164453.98,0
730,610,36,102638.35,0
731,689,67,99490.01,0
732,677,40,88947.56,0
733,754,35,106116.84,0
734,792,31,125912.77,0
735,703,28,162812.16,0
736,698,56,93982.02,1
737,549,34,139463.57,0
738,619,44,112649.22,1
739,757,44,177528.92,0
740,735,73,114283.33,0
741,556,40,17992.94,0
742,632,43,24275.32,0
743,722,47,90655.94,1
744,714,44,6923.11,0
745,570,29,173792.77,0
746,641,65,32607.77,1
747,813,27,115733.16,0
748,782,33,167058.75,0
749,837,35,145325.32,0
750,587,42,123006.91,0
751,776,32,126517.46,0
752,811,46,13464.64,1
753,493,38,89578.32,0
754,553,32,109159.58,0
755,758,33,188156.34,0
756,669,29,138145.62,0
757,640,30,187632.22,0
758,766,52,66193.61,0
759,712,34,195052.12,0
760,775,30,49337.84,0
761,673,37,13624.02,0
762,769,43,87537.32,0
763,699,37,83263.04,0
764,540,28,80698.54,0
765,678,26,45443.68,0
766,661,30,72196.57,0
767,489,34,43540.59,0
768,850,35,80992.8,0
769,705,31,58134.97,0
770,732,36,133172.48,0
771,661,26,196875.87,0
772,815,37,67208.3,0
773,676,30,179066.58,0
774,559,34,9677.0,0
775,733,30,21556.95,0
776,672,33,182738.0,0
777,726,34,102036.82,0
778,500,56,118490.8,1
779,632,40,141896.74,0
780,588,40,100727.68,0
781,475,40,169642.13,1
782,524,44,82117.2,0
783,593,29,134594.99,0
784,520,45,32903.93,0
785,527,37,139093.73,0
786,842,44,126644.98,0
787,589,37,18988.58,0
788,507,36,140134.43,0
789,692,30,130486.57,0
790,680,34,95686.6,0
791,469,38,11950.29,0
792,484,39,175224.12,0
793,570,46,820.46,0
794,756,27,93302.29,0
795,677,25,42410.21,0
796,560,27,131919.48,0
797,753,36,44567.83,1
798,560,43,123181.44,1
799,810,35,120511.03,0
800,591,51,161304.68,1
801,737,36,188670.9,1
802,445,33,122625.68,0
803,558,32,6935.31,0
804,573,56,115462.27,1
805,629,37,23971.33,0
806,583,27,163113.41,0
807,726,33,56053.06,0
808,587,42,194890.33,0
809,675,69,157097.09,0
810,539,30,160979.66,0
811,651,33,108764.69,0
812,679,26,184800.27,0
813,528,37,197111.99,0
814,681,42,9452.88,1
815,629,40,64849.74,1
816,709,37,16733.59,0
817,608,38,137079.86,0
818,569,41,134272.57,0
819,670,33,76257.46,0
820,685,23,112239.03,0
821,633,50,195937.16,0
822,598,38,158111.71,0
823,705,56,88428.41,1
824,770,68,159557.28,1
825,739,29,164484.78,0
826,561,37,83093.25,0
827,537,39,137651.6,0
828,664,24,35611.35,0
829,594,49,23631.55,0
830,696,32,115916.55,0
831,714,37,151280.96,0
832,591,38,119638.85,0
833,613,20,113557.7,1
834,662,22,97382.8,0
835,635,24,70668.77,0
836,602,29,62487.97,0
837,682,43,193318.33,0
838,744,36,87213.33,0
839,757,47,143829.54,0
840,601,44,30607.11,0
841,522,37,129107.59,0
842,779,29,127939.26,1
843,503,28,125918.17,0
844,602,35,31050.02,0
845,684,42,23135.65,1
846,749,35,132649.85,0
847,677,28,8755.69,1
848,622,59,60429.43,0
849,599,27,30546.4,0
850,656,40,180553.48,0
851,841,52,183239.71,1
852,635,38,90605.05,0
853,850,43,54949.73,0
854,659,60,177480.45,1
855,519,38,188225.67,0
856,677,25,179608.96,0
857,573,33,149536.15,0
858,608,56,142492.04,1
859,761,27,63297.7,0
860,490,31,114066.77,0
861,586,57,6057.81,0
862,722,29,142033.07,0
863,793,34,143357.03,0
864,608,44,132424.69,1
865,587,45,158684.81,0
866,477,22,163112.9,1
867,772,26,79414.0,0
868,586,58,162960.05,1
869,537,41,175262.49,0
870,492,29,196293.76,0
871,528,32,111149.98,0
872,758,33,26606.28,0
873,646,48,175657.55,0
874,623,23,191415.94,0
875,499,39,81409.0,0
876,796,44,57205.55,0
877,677,26,119368.99,0
878,591,56,196241.94,1
879,707,52,109688.82,1
880,590,24,58781.11,0
881,648,32,117323.31,0
882,628,33,188193.25,0
883,539,34,136603.42,0
884,636,35,23129.46,0
885,844,40,31904.31,1
886,625,41,57128.78,0
887,797,29,132975.39,0
888,608,30,142730.27,0
889,541,29,86173.92,0
890,668,69,134483.07,0
891,799,70,36483.52,0
892,766,38,2035.94,0
893,766,27,47579.25,0
894,632,36,52526.65,0
895,661,33,84174.81,0
896,828,47,83611.45,1
897,632,50,57942.88,0
898,519,38,60988.21,1
899,720,44,180134.88,1
900,726,44,26733.86,0
901,555,41,185387.14,0
902,684,44,49865.04,0
903,826,41,180934.67,0
904,733,74,134589.58,0
905,459,46,4969.13,1
906,683,25,152698.24,0
907,681,32,90967.37,0
908,579,31,139048.0,0
909,540,37,19374.08,0
910,613,34,44510.26,0
911,614,51,46775.28,0
912,749,60,17978.68,1
913,745,44,34265.08,1
914,647,41,101617.64,1
915,566,21,3626.47,0
916,705,39,11682.36,0
917,614,44,104930.46,0
918,619,41,79866.73,1
919,850,36,141242.57,0
920,747,49,17298.72,1
921,802,60,39473.63,1
922,452,35,4175.68,0
923,661,41,69586.27,1
924,601,44,58561.31,0
925,656,33,116706.0,0
926,844,29,147342.03,0
927,630,42,162697.93,0
928,723,37,121239.65,0
929,565,36,149575.59,0
930,627,41,138700.75,1
931,627,33,159334.93,0
932,506,50,12016.79,0
933,691,28,92865.41,0
934,601,35,177384.45,0
935,676,40,67998.45,0
936,590,41,24499.97,0
937,654,31,105218.45,0
938,606,31,195209.4,0
939,580,57,108528.74,0
940,800,38,68052.08,0
941,503,32,157921.25,0
942,768,40,69080.46,0
943,554,66,116747.62,0
944,667,42,108348.94,1
945,540,39,108419.41,0
946,604,43,23881.62,0
947,677,44,191057.76,0
948,579,39,39891.84,0
949,641,48,157458.61,1
950,669,30,19799.26,0
951,850,55,83617.17,1
952,708,41,128400.62,0
953,528,32,170309.19,0
954,831,44,47729.33,0
955,682,46,114442.66,0
956,733,39,141841.31,0
957,486,24,98802.76,0
958,580,35,24799.47,0
959,636,36,74048.1,1
960,430,33,69759.91,0
961,603,26,92840.67,0
962,850,38,162087.82,0
963,587,46,139431.0,1
964,666,36,33701.5,0
965,556,30,186648.19,0
966,850,22,144385.54,0
967,428,40,72876.43,1
968,644,46,156787.34,1
969,488,33,123613.81,0
970,574,33,193131.42,0
971,633,36,125961.48,0
972,744,32,79812.77,0
973,775,27,104112.0,0
974,734,45,99593.28,0
975,643,45,142513.5,1
976,529,28,52545.24,0
977,585,33,114182.07,0
978,678,48,32301.88,0
979,738,38,69227.42,0
980,536,53,2019.78,1
981,762,31,159344.43,0
982,555,32,168605.96,0
983,652,40,107876.2,0
984,696,42,121061.89,0
985,633,30,41642.29,0
986,613,34,139410.08,0
987,703,42,72500.68,0
988,741,39,174227.66,0
989,698,52,28806.32,1
990,669,50,166386.22,1
991,670,37,198252.88,0
992,512,42,14828.54,0
993,787,38,28228.35,0
994,724,34,80320.3,0
995,710,24,15832.43,1
996,703,35,167810.26,0
997,691,24,92811.2,0
998,646,52,68367.18,0
999,614,41,14666.35,1
1000,615,59,110275.17,0
1001,679,40,163757.29,0
1002,574,52,196257.67,0
1003,557,33,371.05,0
1004,669,43,15602.8,0
1005,594,26,131211.86,0
1006,571,25,167705.07,0
1007,525,35,94738.54,0
1008,553,48,30730.95,1
1009,415,32,3064.65,0
1010,797,31,117916.63,0
1011,629,31,130862.11,0
1012,784,38,145759.93,0
1013,776,29,115818.51,0
1014,516,51,168773.54,0
1015,616,36,136934.91,0
1016,819,38,181507.44,0
1017,550,29,147484.13,0
1018,579,45,11514.39,0
1019,596,32,41788.37,0
1020,668,43,100423.88,0
1021,593,32,151978.36,0
1022,847,31,76326.67,0
1023,759,38,20778.39,0
1024,650,60,102925.76,0
1025,769,31,53817.23,0
1026,516,45,115818.16,0
1027,664,44,115452.51,1
1028,508,43,103726.71,0
1029,689,47,156878.42,1
1030,433,34,19687.99,0
1031,592,38,65986.48,1
1032,641,42,35367.19,0
1033,555,27,116757.0,0
1034,670,32,46175.7,0
1035,635,58,58907.08,1
1036,772,48,184564.67,1
1037,567,41,142009.46,1
1038,654,40,167889.1,0
1039,590,76,13848.58,0
1040,627,24,56793.02,1
1041,567,26,78651.55,0
1042,612,52,98302.57,1
1043,755,43,16929.41,1
1044,670,37,54229.74,0
1045,573,32,130234.63,0
1046,601,43,110916.15,1
1047,598,35,74322.85,0
1048,603,32,198055.94,1
1049,684,56,80593.49,1
1050,723,21,24847.02,0
1051,715,40,141359.11,0
1052,850,39,151738.54,0
1053,668,24,106457.11,1
1054,765,37,9087.81,0
1055,729,26,39356.38,0
1056,591,39,140469.38,1
1057,496,44,2919.21,1
1058,660,29,123850.58,0
1059,695,42,46374.64,0
1060,489,28,167973.63,0
1061,589,20,3529.72,0
1062,703,26,63717.49,0
1063,448,25,95215.73,0
1064,662,39,61636.22,0
1065,607,40,181598.25,0
1066,843,27,67494.23,0
1067,740,36,86480.29,0
1068,545,47,38970.14,0
